realization,gravity,beta,f,prior,seed,beta_family,companion_family,mode,scenario,N_catalogues,difference_direction,correct_gained,correct_lost,correct_difference,wrong_gained,wrong_lost,wrong_difference,indeterminate_gained,indeterminate_lost,indeterminate_difference,true_retained_gained,true_retained_lost,true_retained_difference,baseline_double_rejected_to_correct,baseline_double_rejected_to_wrong,baseline_correct_to_both_retained
1,Newton,1.0,0.075,60,325003001,fitted_grid,outside_inner_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,21,-0.020999999999999998,0,0,0.0,21,0,0.02100000000000002,0,0,0.0,0,0,21
1,Newton,1.0,0.075,60,325003001,fitted_grid,outside_inner_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,60,325003001,fitted_grid,outside_inner_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,60,325003001,fitted_grid,outside_inner_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full34,uniform_white,1000,envelope_minus_baseline,0,1,-0.0010000000000000009,0,0,0.0,1,0,0.001,0,0,0.0,0,0,1
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,2,-0.0020000000000000018,0,0,0.0,2,0,0.002,0,0,0.0,0,0,2
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,2,-0.002,0,0,0.0,2,0,0.0020000000000000018,0,0,0.0,0,0,2
