gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,comparison_type,first_rule,first_mode,second_rule,second_mode,scenario,N_catalogues,same_decision,difference_direction,correct_first_only,correct_second_only,correct_difference,wrong_first_only,wrong_second_only,wrong_difference,indeterminate_first_only,indeterminate_second_only,indeterminate_difference
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,full34,sparse_floor,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,covariates_only66,uniform_white,1000,12,first_minus_second,988,0,0.988,0,0,0.0,0,988,-0.988
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,covariates_only66,clustered_correlated,1000,17,first_minus_second,983,0,0.983,0,1,-0.001,0,982,-0.982
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,covariates_only66,sparse_floor,1000,16,first_minus_second,984,0,0.984,0,0,0.0,0,984,-0.984
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,conditional66,uniform_white,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,conditional66,sparse_floor,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,full34,uniform_white,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,full34,clustered_correlated,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,full34,sparse_floor,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,covariates_only66,uniform_white,1000,8,first_minus_second,992,0,0.992,0,0,0.0,0,992,-0.992
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,covariates_only66,clustered_correlated,1000,8,first_minus_second,992,0,0.992,0,0,0.0,0,992,-0.992
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,covariates_only66,sparse_floor,1000,7,first_minus_second,993,0,0.993,0,0,0.0,0,993,-0.993
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,conditional66,uniform_white,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,envelope,full66,envelope,conditional66,sparse_floor,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full66,baseline,full66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full66,baseline,full66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full66,baseline,full66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full34,baseline,full34,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full34,baseline,full34,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,full34,baseline,full34,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,covariates_only66,baseline,covariates_only66,uniform_white,1000,996,first_minus_second,0,4,-0.004,0,0,0.0,4,0,0.0040000000000000036
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,covariates_only66,baseline,covariates_only66,clustered_correlated,1000,990,first_minus_second,0,9,-0.009000000000000001,0,1,-0.001,10,0,0.010000000000000009
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,covariates_only66,baseline,covariates_only66,sparse_floor,1000,991,first_minus_second,0,9,-0.009000000000000001,0,0,0.0,9,0,0.009000000000000008
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,conditional66,baseline,conditional66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,conditional66,baseline,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,calibration,envelope,conditional66,baseline,conditional66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,information,baseline,full66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
