gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,baseline,covariates_only66,uniform_white,1000,1000,15,1,984,983,1,998,0.0,13.087,14.422,0.015,0.009110978804081668,0.024600976926906798,0.001,0.00017654637062607809,0.0056425585979579355,0.984,0.97416793978826,0.9901277579977227,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,baseline,covariates_only66,clustered_correlated,1000,1000,16,1,983,981,2,997,0.0,13.08,14.454,0.016,0.009872242002277388,0.02583206021173997,0.001,0.00017654637062607809,0.0056425585979579355,0.983,0.9729440411597701,0.9893593101431837,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,baseline,covariates_only66,sparse_floor,1000,1000,26,3,971,970,1,996,0.0,13.087,14.406,0.026,0.017803938201616326,0.03782382884268993,0.003,0.0010207838811386186,0.008783014053503173,0.971,0.9586616416633058,0.9797335518433012,0.996,0.9897604437227377,0.9984434118595916,False,True,False,False,False,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,envelope,covariates_only66,uniform_white,1000,1000,13,1,986,985,1,998,0.0,13.087,14.422,0.013,0.0076128203893510256,0.022114442375579666,0.001,0.00017654637062607809,0.0056425585979579355,0.986,0.9766379658824644,0.9916424248695761,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,envelope,covariates_only66,clustered_correlated,1000,1000,14,0,986,985,1,999,0.0,13.08,14.454,0.014,0.00835757513042392,0.02336203411753566,0.0,2.168404344971009e-19,0.0038267584855551234,0.986,0.9766379658824644,0.9916424248695761,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,160,fitted_grid,outside_inner_prior,4,325004001,envelope,covariates_only66,sparse_floor,1000,1000,10,2,988,987,1,997,0.0,13.087,14.406,0.01,0.005440754445529249,0.018309468870314774,0.002,0.000548643588120728,0.007262807863492177,0.988,0.9791427315245017,0.9931223521935965,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,baseline,covariates_only66,uniform_white,1000,1000,17,2,981,981,0,998,0.0,12.999,14.273,0.017,0.010640689856816328,0.027055958840229925,0.002,0.000548643588120728,0.007262807863492177,0.981,0.9705155440876868,0.9878031142492091,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,baseline,covariates_only66,clustered_correlated,1000,1000,18,3,979,979,0,997,0.0,13.007,14.302,0.018,0.011415740009567788,0.028273255170507345,0.003,0.0010207838811386186,0.008783014053503173,0.979,0.9681097049387625,0.9862242604320758,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,baseline,covariates_only66,sparse_floor,1000,1000,20,3,977,977,0,997,0.0,13.004,14.281,0.02,0.012983682916415136,0.030690005229717786,0.003,0.0010207838811386186,0.008783014053503173,0.977,0.9657235493377733,0.9846257230670071,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,envelope,covariates_only66,uniform_white,1000,1000,16,1,983,983,0,999,0.0,12.999,14.273,0.016,0.009872242002277388,0.02583206021173997,0.001,0.00017654637062607809,0.0056425585979579355,0.983,0.9729440411597701,0.9893593101431837,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,envelope,covariates_only66,clustered_correlated,1000,1000,14,1,985,985,0,999,0.0,13.007,14.302,0.014,0.00835757513042392,0.02336203411753566,0.001,0.00017654637062607809,0.0056425585979579355,0.985,0.9753990230730932,0.9908890211959184,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,40,fitted_grid,fitted_prior,5,325005001,envelope,covariates_only66,sparse_floor,1000,1000,10,1,989,989,0,999,0.0,13.004,14.281,0.01,0.005440754445529249,0.018309468870314774,0.001,0.00017654637062607809,0.0056425585979579355,0.989,0.9804106042992137,0.9938468259019134,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,baseline,covariates_only66,uniform_white,1000,1000,13,1,986,985,1,998,0.0,13.069,14.375,0.013,0.0076128203893510256,0.022114442375579666,0.001,0.00017654637062607809,0.0056425585979579355,0.986,0.9766379658824644,0.9916424248695761,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,baseline,covariates_only66,clustered_correlated,1000,1000,14,2,984,983,1,997,0.0,13.064,14.373,0.014,0.00835757513042392,0.02336203411753566,0.002,0.000548643588120728,0.007262807863492177,0.984,0.97416793978826,0.9901277579977227,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,baseline,covariates_only66,sparse_floor,1000,1000,16,4,980,979,1,995,0.0,13.066,14.391,0.016,0.009872242002277388,0.02583206021173997,0.004,0.0015565881404084308,0.010239556277262253,0.98,0.9693099947702822,0.987016317083585,0.995,0.9883490446266249,0.9978624644726756,False,True,False,False,False,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,envelope,covariates_only66,uniform_white,1000,1000,10,0,990,989,1,999,0.0,13.069,14.375,0.01,0.005440754445529249,0.018309468870314774,0.0,2.168404344971009e-19,0.0038267584855551234,0.99,0.9816905311296853,0.9945592455544707,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,envelope,covariates_only66,clustered_correlated,1000,1000,9,0,991,990,1,999,0.0,13.064,14.373,0.009,0.004742060667477063,0.01701581616533807,0.0,2.168404344971009e-19,0.0038267584855551234,0.991,0.982984183834662,0.9952579393325229,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,80,fitted_grid,fitted_prior,6,325006001,envelope,covariates_only66,sparse_floor,1000,1000,7,0,993,992,1,999,0.0,13.066,14.391,0.007,0.0033948684009907646,0.014378315465766588,0.0,2.168404344971009e-19,0.0038267584855551234,0.993,0.9856216845342334,0.9966051315990092,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,baseline,covariates_only66,uniform_white,1000,1000,17,3,980,979,1,996,0.0,13.059,14.371,0.017,0.010640689856816328,0.027055958840229925,0.003,0.0010207838811386186,0.008783014053503173,0.98,0.9693099947702822,0.987016317083585,0.996,0.9897604437227377,0.9984434118595916,False,True,False,False,False,False,outside_inner_prior
